participant,min_train_loss,min_train_mae,init_src_content_weight_mean_0,trained_src_content_weight_mean_0,init_src_content_weight_mean_1,trained_src_content_weight_mean_1,init_src_content_weight_std_0,trained_src_content_weight_std_0,init_src_content_weight_std_1,trained_src_content_weight_std_1,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_weight_mean_0,trained_src_edge_weight_mean_0,init_src_edge_weight_std_0,trained_src_edge_weight_std_0,init_full_src_edge_weight_mean_0,trained_full_src_edge_weight_mean_0,init_full_src_edge_weight_std_0,trained_full_src_edge_weight_std_0,init_dst_content_weight_mean_0,trained_dst_content_weight_mean_0,init_dst_content_weight_std_0,trained_dst_content_weight_std_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_weight_mean_0,trained_dst_edge_weight_mean_0,init_dst_edge_weight_std_0,trained_dst_edge_weight_std_0,init_full_dst_edge_weight_mean_0,trained_full_dst_edge_weight_mean_0,init_full_dst_edge_weight_std_0,trained_full_dst_edge_weight_std_0,init_att_edge_0,trained_att_edge_0,init_edge_weight_mean_0,trained_edge_weight_mean_0,init_edge_weight_std_0,trained_edge_weight_std_0,init_full_edge_weight_mean_0,trained_full_edge_weight_mean_0,init_full_edge_weight_std_0,trained_full_edge_weight_std_0,init_bias_0,trained_bias_0
11,76.16848,0.60477364,2.1280300617218018,7.344450950622559,-0.7795773148536682,1.3365176916122437,0.5245383977890015,-2.3033082485198975,-0.8468988537788391,-3.5129528045654297,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.7934104204177856,2.0345780849456787,1.506273627281189,-2.3516063690185547,0.7934104204177856,2.0345780849456787,1.506273627281189,-2.3516063690185547,,
12,65.168724,0.580436,-2.828991651535034,3.160780668258667,-0.619523823261261,1.4290595054626465,0.5971118211746216,-2.3471240997314453,0.02286876179277897,-3.229734420776367,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.41731247305870056,3.7816355228424072,-1.2961822748184204,-2.912036180496216,0.41731247305870056,3.7816355228424072,-1.2961822748184204,-2.912036180496216,,
13,80.82219,0.51781267,0.11310948431491852,5.923564910888672,1.1770154237747192,1.409656286239624,-0.3517165780067444,-2.5550403594970703,-1.003603458404541,-3.861989736557007,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.9004395008087158,5.77287483215332,-0.7673546671867371,-2.705181360244751,-1.9004395008087158,5.77287483215332,-0.7673546671867371,-2.705181360244751,,
14,50.92858,0.7232486,0.7717284560203552,1.3362367153167725,1.2780840396881104,1.1837326288223267,0.1669779270887375,-2.7916102409362793,0.7075645327568054,-2.0193276405334473,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.19705498218536377,-0.9188937544822693,-0.45810437202453613,-1.2129464149475098,-0.19705498218536377,-0.9188937544822693,-0.45810437202453613,-1.2129464149475098,,
15,103.93789,0.89511806,1.9542919397354126,1.9336069822311401,-0.5331080555915833,1.9895001649856567,-1.2579319477081299,-3.715907573699951,-1.5000091791152954,-3.453796863555908,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.5628342628479004,4.692595481872559,0.19592097401618958,-2.7790911197662354,1.5628342628479004,4.692595481872559,0.19592097401618958,-2.7790911197662354,,
16,116.35169,0.7693942,0.41362887620925903,2.011453866958618,0.6864928603172302,1.5577219724655151,-0.24144385755062103,-3.333961248397827,-0.2793522775173187,-3.462268352508545,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.8741632103919983,4.96883487701416,1.5068403482437134,-2.2865219116210938,-0.8741632103919983,4.96883487701416,1.5068403482437134,-2.2865219116210938,,
17,32.063427,0.31629857,-0.14132535457611084,4.291585445404053,-0.3967488408088684,1.0963479280471802,0.19175173342227936,-2.322450876235962,0.46494269371032715,-2.7170679569244385,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.7762624025344849,5.525264263153076,-1.1923142671585083,-2.671964406967163,-0.7762624025344849,5.525264263153076,-1.1923142671585083,-2.671964406967163,,
18,99.21845,0.64760196,-0.3014092743396759,3.4851558208465576,-0.33829784393310547,1.2603845596313477,0.17927129566669464,-2.6684110164642334,-0.3623450696468353,-3.3179924488067627,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.024814248085022,6.943514823913574,0.35710883140563965,-1.7856298685073853,-1.024814248085022,6.943514823913574,0.35710883140563965,-1.7856298685073853,,
19,96.65068,0.76194346,1.0717272758483887,2.315831422805786,0.9647212624549866,1.6575982570648193,0.47414156794548035,-2.628054618835449,0.5416026711463928,-2.5701143741607666,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.9372168779373169,7.3491621017456055,0.3504083752632141,-1.8048509359359741,-0.9372168779373169,7.3491621017456055,0.3504083752632141,-1.8048509359359741,,
20,77.84569,0.65955204,0.2381051629781723,2.1129159927368164,0.12375926226377487,3.5952632427215576,0.7592330574989319,-2.91097354888916,-2.0253958702087402,-3.4870409965515137,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.547793984413147,4.267360687255859,-1.1195317506790161,-3.0147178173065186,0.547793984413147,4.267360687255859,-1.1195317506790161,-3.0147178173065186,,
21,113.8526,0.75070095,-0.6472923755645752,2.201563835144043,-0.7376572489738464,1.5628012418746948,-1.1494009494781494,-4.054966926574707,-1.8775743246078491,-4.443396091461182,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.2814794182777405,6.53835916519165,-0.9117738604545593,-2.6283860206604004,0.2814794182777405,6.53835916519165,-0.9117738604545593,-2.6283860206604004,,
22,103.67362,0.76583165,1.4755618572235107,2.7128894329071045,-1.4889543056488037,3.2698051929473877,0.04046260938048363,-3.610366106033325,0.25143149495124817,-3.2131879329681396,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.6568799018859863,5.0291666984558105,0.1376648247241974,-3.302722454071045,0.6568799018859863,5.0291666984558105,0.1376648247241974,-3.302722454071045,,
23,48.526745,0.61540693,1.3322465419769287,1.3104195594787598,-0.14937566220760345,0.9604397416114807,0.9360103607177734,-2.194918394088745,0.6361032128334045,-1.8266112804412842,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.30282723903656,6.472540855407715,0.8033443093299866,-1.265306830406189,1.30282723903656,6.472540855407715,0.8033443093299866,-1.265306830406189,,
24,71.527504,0.5228431,0.013997606001794338,2.614748954772949,-1.311439037322998,1.332314133644104,-0.8717588186264038,-3.23309326171875,0.44332996010780334,-2.666980266571045,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.4093659222126007,5.695521354675293,-0.6876487731933594,-2.456589937210083,-0.4093659222126007,5.695521354675293,-0.6876487731933594,-2.456589937210083,,
25,132.45615,0.91018623,-0.0694270133972168,1.0946928262710571,-0.26174694299697876,0.5882778763771057,-0.022471711039543152,-3.1508023738861084,-0.5321851968765259,-3.191976308822632,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.819085419178009,9.849895477294922,0.11143097281455994,-1.8571540117263794,-0.819085419178009,9.849895477294922,0.11143097281455994,-1.8571540117263794,,
26,101.62419,0.8116421,1.510696291923523,3.149646043777466,0.7775858044624329,1.5144338607788086,1.0328863859176636,-2.4110662937164307,0.22328239679336548,-2.853623628616333,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.810611605644226,3.8071398735046387,0.35588815808296204,-1.6523168087005615,-1.810611605644226,3.8071398735046387,0.35588815808296204,-1.6523168087005615,,
27,47.212845,0.33665097,-0.6069130897521973,2.2336912155151367,1.1592875719070435,1.3251533508300781,-0.114767886698246,-2.5268747806549072,-0.3225173056125641,-2.8384480476379395,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.20401212573051453,3.206378221511841,0.2979065775871277,-2.104957103729248,0.20401212573051453,3.206378221511841,0.2979065775871277,-2.104957103729248,,
28,68.47998,0.533159,1.1790260076522827,2.7758822441101074,-0.9419410824775696,2.1747889518737793,-0.04211680218577385,-3.2832539081573486,-0.38032183051109314,-3.1661312580108643,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.27552738785743713,4.957444667816162,-0.6316947340965271,-2.6568808555603027,-0.27552738785743713,4.957444667816162,-0.6316947340965271,-2.6568808555603027,,
