participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_bias_0,trained_bias_0
88,0.7477904558181763,0.7254522442817688,156.0,62.0,201.0,0.25338780879974365,-1.668336272239685,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
89,0.7731133699417114,0.7578948140144348,103.0,18.0,210.0,1.2008981704711914,0.7905806303024292,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
90,0.1718263477087021,0.27124840021133423,200.0,28.0,276.0,-0.3369986116886139,0.9851990342140198,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
91,1.2323254346847534,0.8856973648071289,91.0,0.0,217.0,0.8082005977630615,0.8593623042106628,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
92,0.22149816155433655,0.3730070888996124,169.0,25.0,238.0,-0.9412415027618408,0.9600214958190918,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
93,0.7009112238883972,0.7792815566062927,123.0,5.0,259.0,0.07471209019422531,0.7768314480781555,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
94,1.7302380800247192,1.1815627813339233,141.0,0.0,253.0,0.43921980261802673,0.5187557339668274,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
95,1.012508511543274,0.7441167831420898,217.0,23.0,220.0,-0.038144271820783615,0.8390609622001648,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
96,0.48408547043800354,0.6957625150680542,0.0,0.0,199.0,1.1474882364273071,1.1474882364273071,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
97,,,,,,0.8283722996711731,0.8283722996711731,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
98,0.1541319638490677,0.20535826683044434,159.0,3.0,239.0,0.19853028655052185,0.9832145571708679,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
99,0.3356798589229584,0.49608659744262695,218.0,72.0,254.0,1.5312942266464233,-3.5474119186401367,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
100,1.2392609119415283,0.9789037704467773,186.0,24.0,250.0,-1.387195110321045,0.3867366313934326,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
101,0.12596182525157928,0.2915862500667572,148.0,32.0,228.0,0.8820964694023132,0.9513935446739197,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
102,0.29501986503601074,0.44180527329444885,79.0,43.0,247.0,0.9463160634040833,-1.8785066604614258,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
103,0.7531375288963318,0.7618514895439148,92.0,4.0,264.0,-1.2480717897415161,0.2726795971393585,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
104,0.762930154800415,0.683344304561615,216.0,108.0,266.0,1.0335882902145386,-2.0449862480163574,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
105,0.00512419268488884,0.050205569714307785,217.0,58.0,220.0,1.2619397640228271,0.9996118545532227,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
106,0.22927884757518768,0.39414629340171814,135.0,15.0,257.0,-0.2924153804779053,0.8721811771392822,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
107,0.5227517485618591,0.6255134344100952,198.0,64.0,233.0,0.384915828704834,-0.11572761833667755,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
108,0.8152217864990234,0.5375592708587646,152.0,3.0,250.0,1.263961672782898,0.924092173576355,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
109,0.18213455379009247,0.34822723269462585,147.0,17.0,237.0,1.3488906621932983,0.9696208238601685,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
110,0.022641614079475403,0.1376829743385315,208.0,23.0,215.0,0.7121673226356506,0.9793826341629028,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
111,0.6142345666885376,0.5806034803390503,149.0,1.0,256.0,-0.46650752425193787,0.928167998790741,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
112,0.23100323975086212,0.43433907628059387,181.0,2.0,241.0,0.2986980378627777,0.9752143025398254,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
