participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
43,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6472213864326477,0.6472213864326477,0.6472213864326477,0.6472213864326477,,
44,2.1919586658477783,1.4789155721664429,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.588780164718628,1.588780164718628,1.588780164718628,1.588780164718628,,
45,0.23739099502563477,0.29998457431793213,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3189280033111572,-1.3189280033111572,-1.3189280033111572,-1.3189280033111572,,
46,1.1442615985870361,0.8686228394508362,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.11762390285730362,0.11762390285730362,0.11762390285730362,0.11762390285730362,,
47,0.6295856833457947,0.6171111464500427,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5018818974494934,-0.5018818974494934,-0.5018818974494934,-0.5018818974494934,,
48,1.0368489027023315,0.8455026745796204,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6078425645828247,0.6078425645828247,0.6078425645828247,0.6078425645828247,,
49,0.6105211973190308,0.6755954623222351,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.6843402981758118,-0.6843402981758118,-0.6843402981758118,-0.6843402981758118,,
50,1.2527656555175781,1.0587689876556396,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1004066467285156,1.1004066467285156,1.1004066467285156,1.1004066467285156,,
51,0.8141734004020691,0.734656035900116,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.4800418615341187,-1.4800418615341187,-1.4800418615341187,-1.4800418615341187,,
52,0.6835762858390808,0.695762574672699,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.38929542899131775,-0.38929542899131775,-0.38929542899131775,-0.38929542899131775,,
53,1.5348438024520874,1.1797711849212646,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.06427821516990662,0.06427821516990662,0.06427821516990662,0.06427821516990662,,
54,2.0365066528320312,1.3978271484375,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.342291235923767,1.342291235923767,1.342291235923767,1.342291235923767,,
55,1.9968143701553345,1.3990875482559204,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1458436250686646,1.1458436250686646,1.1458436250686646,1.1458436250686646,,
56,1.1884039640426636,1.0486855506896973,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1102066040039062,-1.1102066040039062,-1.1102066040039062,-1.1102066040039062,,
57,0.3799757659435272,0.4188537001609802,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.0411754846572876,-1.0411754846572876,-1.0411754846572876,-1.0411754846572876,,
58,1.054555892944336,0.8954160809516907,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5671745538711548,-1.5671745538711548,-1.5671745538711548,-1.5671745538711548,,
59,0.691877543926239,0.7065662741661072,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.6995798349380493,1.6995798349380493,1.6995798349380493,1.6995798349380493,,
60,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.6875355243682861,-1.6875355243682861,-1.6875355243682861,-1.6875355243682861,,
61,0.9647393226623535,0.8142437934875488,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8745737075805664,0.8745737075805664,0.8745737075805664,0.8745737075805664,,
62,0.42048633098602295,0.5798020958900452,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.24570129811763763,-0.24570129811763763,-0.24570129811763763,-0.24570129811763763,,
63,0.5859661102294922,0.6554284691810608,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.07291781157255173,-0.07291781157255173,-0.07291781157255173,-0.07291781157255173,,
64,1.3302115201950073,1.004636526107788,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.49904966354370117,-0.49904966354370117,-0.49904966354370117,-0.49904966354370117,,
