participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
18,0.7542545199394226,0.4497665464878082,210.0,2.0,281.0,1.0,0.9407570362091064,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.167009174823761,-0.167009174823761,-0.167009174823761,-0.167009174823761,,
19,0.5594526529312134,0.6257882118225098,491.0,10.0,500.0,1.0,0.6012459993362427,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3537570238113403,41.74611282348633,1.3537570238113403,41.74611282348633,,
20,0.5797775983810425,0.7377327680587769,80.0,5.0,255.0,1.0,0.2960321605205536,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1593670845031738,-1.1593670845031738,-1.1593670845031738,-1.1593670845031738,,
21,0.6569133400917053,0.6863387227058411,127.0,48.0,264.0,1.0,0.8416641354560852,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5432343482971191,-1.5432343482971191,-1.5432343482971191,-1.5432343482971191,,
22,0.32326018810272217,0.42526572942733765,164.0,31.0,259.0,1.0,0.9551418423652649,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6138188242912292,-5.3916544914245605,0.6138188242912292,-5.3916544914245605,,
23,0.7770700454711914,0.6492524147033691,138.0,2.0,259.0,1.0,0.40797126293182373,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0523793697357178,5.7877960205078125,1.0523793697357178,5.7877960205078125,,
24,0.15425068140029907,0.3173676133155823,179.0,71.0,234.0,1.0,0.9610165357589722,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8145328164100647,-0.8145328164100647,-0.8145328164100647,-0.8145328164100647,,
25,1.3271037340164185,1.0130150318145752,119.0,4.0,233.0,1.0,0.502665102481842,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.0993269830942154,-0.0993269830942154,-0.0993269830942154,-0.0993269830942154,,
26,0.6185683608055115,0.5463594794273376,219.0,2.0,250.0,1.0,0.999169111251831,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.206064835190773,3.1610069274902344,0.206064835190773,3.1610069274902344,,
27,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1146186590194702,-1.1146186590194702,-1.1146186590194702,-1.1146186590194702,,
28,0.11069991439580917,0.2890988290309906,124.0,2.0,234.0,1.0,0.9611149430274963,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.33505237102508545,-0.33505237102508545,-0.33505237102508545,-0.33505237102508545,,
29,0.1635117083787918,0.29975539445877075,211.0,16.0,277.0,1.0,0.9574178457260132,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8804954886436462,8.975038528442383,0.8804954886436462,8.975038528442383,,
30,1.31027090549469,0.9384238123893738,137.0,12.0,281.0,1.0,0.7758596539497375,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.2867496013641357,10.189193725585938,-1.2867496013641357,10.189193725585938,,
31,0.003658855566754937,0.059443652629852295,146.0,63.0,199.0,1.0,0.999148964881897,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3257864713668823,-1.3257864713668823,-1.3257864713668823,-1.3257864713668823,,
32,0.24734549224376678,0.39830437302589417,207.0,65.0,245.0,1.0,-2.677474021911621,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0461426973342896,-4.959341526031494,1.0461426973342896,-4.959341526031494,,
33,0.9806104302406311,0.7914272546768188,172.0,5.0,293.0,1.0,1.2141337394714355,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.5250566005706787,7.148095607757568,1.5250566005706787,7.148095607757568,,
34,0.12299051135778427,0.2596534490585327,235.0,25.0,292.0,1.0,0.5377640128135681,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.6363203525543213,23.553878784179688,1.6363203525543213,23.553878784179688,,
35,0.0009133188286796212,0.029361525550484657,210.0,61.0,214.0,1.0,-2.9922702312469482,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5068798661231995,-6.2710652351379395,0.5068798661231995,-6.2710652351379395,,
36,0.6305891275405884,0.6974974274635315,150.0,7.0,243.0,1.0,-2.434452533721924,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.681473731994629,-1.681473731994629,-1.681473731994629,-1.681473731994629,,
37,1.0324294567108154,0.7254247665405273,163.0,43.0,257.0,1.0,-0.1655179113149643,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.767690122127533,-0.767690122127533,-0.767690122127533,-0.767690122127533,,
38,0.8778780698776245,0.801211416721344,150.0,21.0,257.0,1.0,1.2478604316711426,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3784737586975098,10.155328750610352,1.3784737586975098,10.155328750610352,,
39,0.9741561412811279,0.7454020977020264,112.0,43.0,240.0,1.0,0.7824370265007019,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3197773694992065,-4.68572473526001,1.3197773694992065,-4.68572473526001,,
40,0.167735293507576,0.29694315791130066,252.0,62.0,264.0,1.0,0.9668823480606079,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.3741801083087921,-8.670709609985352,-0.3741801083087921,-8.670709609985352,,
41,0.5707916021347046,0.6912972331047058,13.0,8.0,212.0,1.0,-0.34105610847473145,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.2974391579627991,-0.2974391579627991,-0.2974391579627991,-0.2974391579627991,,
42,0.10826369374990463,0.22024118900299072,53.0,18.0,215.0,1.0,0.740749716758728,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.6481841802597046,-0.6481841802597046,-0.6481841802597046,-0.6481841802597046,,
43,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6610710024833679,0.6610710024833679,0.6610710024833679,0.6610710024833679,,
44,0.005524180829524994,0.04425913840532303,244.0,91.0,327.0,1.0,1.0106505155563354,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.20992346107959747,5.003107070922852,0.20992346107959747,5.003107070922852,,
45,0.23075167834758759,0.2944198548793793,115.0,8.0,225.0,1.0,0.43217170238494873,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.4360209703445435,-1.4360209703445435,-1.4360209703445435,-1.4360209703445435,,
46,0.9399822950363159,0.8686228394508362,1198.0,0.0,1206.0,1.0,0.5814185738563538,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.14733442664146423,-96.27481842041016,0.14733442664146423,-96.27481842041016,,
47,0.6282691359519958,0.6077212691307068,106.0,51.0,211.0,1.0,-0.09465980529785156,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.6413654088974,-4.364131450653076,1.6413654088974,-4.364131450653076,,
48,0.523251473903656,0.6250438094139099,151.0,34.0,268.0,1.0,1.143201470375061,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3003555536270142,7.833946228027344,1.3003555536270142,7.833946228027344,,
49,0.5109705924987793,0.5509814023971558,240.0,16.0,276.0,1.0,1.0478841066360474,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8181560635566711,8.460436820983887,0.8181560635566711,8.460436820983887,,
50,0.47165176272392273,0.5473248958587646,213.0,9.0,262.0,1.0,0.7896282076835632,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8130121231079102,-0.8130121231079102,-0.8130121231079102,-0.8130121231079102,,
