participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_src_content_1,trained_src_content_1,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
40,0.10214214026927948,0.23367346823215485,1614.0,205.0,1622.0,-1.144194483757019,-87.01795959472656,0.7303320169448853,-0.5032486915588379,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.3769363462924957,-35.58314514160156,-0.3769363462924957,-35.58314514160156,,
41,0.008635268546640873,0.08015106618404388,239.0,73.0,272.0,1.2535654306411743,-3.9887900352478027,1.331719994544983,-8.877153396606445,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.08278511464595795,-0.08278511464595795,-0.08278511464595795,-0.08278511464595795,,
42,0.10826369374990463,0.2199169397354126,144.0,26.0,247.0,-1.192857265472412,-1.192857265472412,-1.3188832998275757,0.7407373189926147,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4099293947219849,-5.102318286895752,1.4099293947219849,-5.102318286895752,,
43,,,,,,-1.2291970252990723,-1.2291970252990723,0.354763001203537,0.354763001203537,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7986543774604797,-0.7986543774604797,-0.7986543774604797,-0.7986543774604797,,
44,0.005524179898202419,0.04298652708530426,179.0,70.0,283.0,-0.39116033911705017,-0.39116033911705017,1.3946044445037842,1.010650396347046,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.9039483070373535,5.003085613250732,0.9039483070373535,5.003085613250732,,
45,0.06403709203004837,0.19416534900665283,196.0,32.0,294.0,1.0050878524780273,-19.917051315307617,-0.4915236234664917,-4.1312031745910645,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.6178430318832397,-4.511637210845947,1.6178430318832397,-4.511637210845947,,
46,0.25680309534072876,0.45064234733581543,292.0,39.0,479.0,0.0357135534286499,-14.265990257263184,-0.3833656907081604,-1.3436837196350098,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.16344167292118073,-0.010170959867537022,-0.16344167292118073,-0.010170959867537022,,
47,0.09165102243423462,0.2866857349872589,164.0,19.0,259.0,0.19229938089847565,-1.8152461051940918,-1.3368338346481323,-8.280959129333496,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7389692068099976,-0.7389692068099976,-0.7389692068099976,-0.7389692068099976,,
48,0.21902604401111603,0.43687915802001953,696.0,729.0,729.0,0.6862764358520508,-56.11323928833008,-1.0977284908294678,-3.421048641204834,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.6926883459091187,-1.6926883459091187,-1.6926883459091187,-1.6926883459091187,,
49,0.014642712660133839,0.08793040364980698,233.0,60.0,267.0,-0.7635073661804199,-15.391836166381836,-1.2127684354782104,-7.869152545928955,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3366423845291138,-1.3366423845291138,-1.3366423845291138,-1.3366423845291138,,
