participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
57,0.31573158502578735,0.41931071877479553,94.0,2.0,221.0,1.7304986715316772,0.7711513042449951,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8508109450340271,-0.8508109450340271,-0.8508109450340271,-0.8508109450340271,,
58,0.2901976704597473,0.43200403451919556,1707.0,2.0,1708.0,-1.5307238101959229,0.8445135951042175,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.7164925932884216,70.26852416992188,0.7164925932884216,70.26852416992188,,
59,0.5081335306167603,0.5613411664962769,119.0,3.0,242.0,1.1791179180145264,0.85431307554245,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.30719682574272156,-5.69827127456665,0.30719682574272156,-5.69827127456665,,
60,,,,,,-0.8959749937057495,-0.8959749937057495,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5677613615989685,0.5677613615989685,0.5677613615989685,0.5677613615989685,,
61,0.5550665259361267,0.6310418248176575,154.0,9.0,200.0,-0.09056887030601501,0.9064862132072449,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.10402226448059082,-5.9014058113098145,0.10402226448059082,-5.9014058113098145,,
62,0.12020882964134216,0.2727850377559662,218.0,10.0,245.0,0.9230223894119263,0.9404026865959167,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.977695107460022,-0.977695107460022,-0.977695107460022,-0.977695107460022,,
63,0.5381441116333008,0.5479353070259094,53.0,19.0,201.0,1.1002941131591797,-0.8225643634796143,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.2090795934200287,-0.2090795934200287,-0.2090795934200287,-0.2090795934200287,,
64,0.7817620038986206,0.7603690028190613,175.0,3.0,271.0,1.2160413265228271,0.934344470500946,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8115048408508301,-2.018068790435791,-0.8115048408508301,-2.018068790435791,,
65,0.32972219586372375,0.3274117708206177,1553.0,12.0,1561.0,1.1327505111694336,0.9506202936172485,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.29082077741622925,-351.20245361328125,-0.29082077741622925,-351.20245361328125,,
66,0.1324595808982849,0.28947487473487854,188.0,9.0,248.0,0.20211926102638245,0.9743061661720276,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.471636414527893,-1.471636414527893,-1.471636414527893,-1.471636414527893,,
